id,name,sex,age,class,school_id,created_at,updated_at,gender,photo,teacher_id,class_id,student_code,date_of_birth,nationality,ethnicity,religion,guardian_name,guardian_relationship,guardian_phone,guardian_occupation,home_address,home_village,home_commune,home_district,home_province,distance_from_school,transportation_method,has_disability,disability_type,receives_scholarship,scholarship_amount,enrollment_date,enrollment_status,status_change_date,status_change_reason,previous_year_grade,previous_school,attendance_rate,days_absent,health_conditions,last_health_check,height_cm,weight_kg,nutrition_status,receives_meal_support,learning_difficulties,special_needs,teacher_notes,extra_activities,achievements,siblings_count,sibling_position,family_income_level,has_birth_certificate,birth_certificate_number,pilot_school_id
105,ម៉ាលី សេង,female,12,Grade 4,1,2025-09-04 08:51:17,2025-09-04 08:51:17,female,,9,,,2013-08-01,Cambodian,,,,,,,,,,,,,,f,,f,,2025-07-23,active,,,,,,0,,,,,,f,,,,,,0,,,t,,1
106,គន្ធា ហុក,male,12,Grade 4,1,2025-09-04 08:51:17,2025-09-04 08:51:17,male,,5,,,2013-08-18,Cambodian,,,,,,,,,,,,,,f,,f,,2024-09-30,active,,,,,,0,,,,,,f,,,,,,0,,,t,,1
107,ភក្តី ឌឿន,male,12,Grade 4,1,2025-09-04 08:51:17,2025-09-04 08:51:17,male,,10,,,2013-06-22,Cambodian,,,,,,,,,,,,,,f,,f,,2025-06-10,active,,,,,,0,,,,,,f,,,,,,0,,,t,,1
108,សុវណ្ណ សាន,male,12,Grade 4,1,2025-09-04 08:51:17,2025-09-04 08:51:17,male,,9,,,2013-07-05,Cambodian,,,,,,,,,,,,,,f,,f,,2025-07-08,active,,,,,,0,,,,,,f,,,,,,0,,,t,,1
109,ម៉ាលី ភួង,female,12,Grade 4,1,2025-09-04 08:51:17,2025-09-04 08:51:17,female,,5,,,2013-03-01,Cambodian,,,,,,,,,,,,,,f,,f,,2024-09-07,active,,,,,,0,,,,,,f,,,,,,0,,,t,,1
110,សុភាព យ៉ាន,male,12,Grade 4,1,2025-09-04 08:51:17,2025-09-04 08:51:17,male,,9,,,2013-01-25,Cambodian,,,,,,,,,,,,,,f,,f,,2024-09-25,active,,,,,,0,,,,,,f,,,,,,0,,,t,,1
111,គន្ធា ច័ន្ទ,male,12,Grade 4,1,2025-09-04 08:51:17,2025-09-04 08:51:17,male,,5,,,2013-09-03,Cambodian,,,,,,,,,,,,,,f,,f,,2024-10-23,active,,,,,,0,,,,,,f,,,,,,0,,,t,,1
112,សុខេន លឹម,male,12,Grade 4,1,2025-09-04 08:51:17,2025-09-04 08:51:17,male,,5,,,2013-01-06,Cambodian,,,,,,,,,,,,,,f,,f,,2024-10-04,active,,,,,,0,,,,,,f,,,,,,0,,,t,,1
113,សុខុម ចាន់,female,12,Grade 4,1,2025-09-04 08:51:17,2025-09-04 08:51:17,female,,9,,,2013-01-07,Cambodian,,,,,,,,,,,,,,f,,f,,2025-06-10,active,,,,,,0,,,,,,f,,,,,,0,,,t,,1
114,ម៉ាលី គឹម,female,12,Grade 4,1,2025-09-04 08:51:17,2025-09-04 08:51:17,female,,10,,,2012-09-06,Cambodian,,,,,,,,,,,,,,f,,f,,2025-07-06,active,,,,,,0,,,,,,f,,,,,,0,,,t,,1
